"","Var1","Freq"
"1"," ",4
"2","Bachelor in CS (Computer Science)",4
"3","Bachelor in STEM (Science, Technology, Engineering and Mathematics)",3
"4","High School but did not graduate",1
"5","High School graduate or GED",3
"6","Master in CS",25
"7","Master in STEM",3
"8","PhD or higher academic title in a different area than CS or STEM",2
"9","PhD or higher academic title in CS",28
"10","PhD or higher academic title in STEM",2
"11","Some college or 2-year degree",6
